eid	doctype	pubyear	source_id	volume	issue	page-start	page-end
35248900904	ar	2008	12807.0	44	1	322	334
35548980877	ar	2008	28635.0	39	1	226	241
35748984403	ar	2008	13030.0	309	3-5	838	842
36148946067	ar	2008	20594.0	75	2	153	168
36849012004	ar	2008	20327.0	44	1	137	144
37149011105	ar	2008	23874.0	244	3	555	581
37149032447	ar	2008	16789.0	373	1	43	51
37249053765	ar	2008	28254.0	19	1	33	39
37249072734	ar	2008	21187.0	10	1	75	94
37449021781	ar	2008	22903.0	60	1	42	56
37449034106	ar	2008	18579.0	125	1-2	117	129
37549010964	ar	2008	14280.0	17	1	66	71
37549056254	ar	2008	24640.0	31	3	295	323
37549058818	ar	2008	15390.0	38	1	61	75
37549066365	ar	2008	16845.0	366	3	775	778
37649004522	re	2008	27717.0	22	1	3	11
37749047351	ar	2008	28673.0	34	1	30	50
37849023744	ar	2008	4.000150314E9	71	1	3	7
37849035450	ar	2008	17167.0	68	1	81	96
38049169617	re	2008	23205.0	6	1	95	107
38149075190	ar	2008	15428.0	41	2	108	123
38149113884	ar	2008	25303.0	27	2	523	529
38349044320	ar	2008	16322.0	220	1-3	502	505
38349083468	ar	2008	23306.0	294	1		
38349092674	ar	2008	1.00147332E8	23	1	1	15
38349115930	ar	2008	33784.0	135	2	216	224
38349127008	ar	2008	1.00147332E8	23	1	17	44
38349133929	ar	2008	16211.0	10	2	286	299
38349193409	ar	2008	30020.0	29	1	95	117
38449121453	ar	2008	4.700152855E9	18	1	180	188
38549089101	ar	2008	13835.0	24	1	61	67
38549131213	ar	2008	24169.0	85	1	68	71
38549162730	ar	2008	25655.0	31	1	125	146
38649093349	ar	2008	110157.0	77	2		
38649130624	ar	2008	29148.0	77	1		
38749134178	ar	2008	22496.0	37	2	87	113
38849087435	ar	2008	5.200153049E9	2	1	29	38
38849095692	ar	2008	14174.0	14		125	135
38849130723	ar	2008	12936.0	123	2	658	666
38849134918	ar	2008	12936.0	123	2	667	678
38849148339	ar	2008	16867.0	47	2	537	547
38849187891	ar	2008	14293.0	29	2	129	156
38949102992	ar	2008	14759.0	21	1	125	134
38949128508	ar	2008	12811.0	34	3	321	336
38949158371	ar	2008	14105.0	22	1	31	36
38949212951	ar	2008	14248.0	51	1	249	254
39049119314	ar	2008	5.000153105E9	2008		93	103
39049145692	ar	2008	5.000153105E9	2008		327	346
39049150337	ar	2008	5.000153105E9	2008		309	323
39049170167	ar	2008	29606.0	355	2	114	124
39149101452	ar	2008	13866.0	86	2	452	455
39149111962	re	2008	13106.0	53	1	87	107
39349101847	cp	2008	25674.0	4904 LNCS		13	24
39349106684	ar	2008	24918.0	44	4	301	303
39549089347	ar	2008	16560.0	37	2	23	34
39549113188	ar	2008	12807.0	44	6	1422	1431
39749129899	ar	2008	20764.0	56	2	229	240
39749152181	ar	2008	14871.0	32	2	145	151
39749159628	ar	2008	28478.0	12	1	72	80
40149100333	re	2008	7.10015315E9	3	1	35	47
40149110962	re	2008	7.10015315E9	3	1	20	34
40249118714	ar	2008	22036.0	79	1	102	110
40349093227	ar	2008	7.600153123E9	3	1	45	62
40549096727	ar	2008	28829.0	26	1	35	40
40549114009	ar	2008	20731.0	49	3	274	292
40649084857	re	2008	28852.0	39	1	37	39
40649101727	ar	2008	26027.0	18	2	172	184
40749110217	re	2008	14351.0	57	2	342	351
40749138573	ar	2008	14174.0	14		471	480
40749151020	ar	2008	19309.0	81	5	691	708
40749163165	ar	2008	27123.0	22	2	107	109
40849095733	ar	2008	17533.0	27	2	277	294
40849100003	ar	2008	14398.0	45	10	2850	2860
40949113240	cp	2008	19823.0	64	3	210	229
40949145618	ar	2008	29183.0	68	6	1625	1630
40949153085	ar	2008	25882.0	45	2	303	306
40949163904	ar	2008	15107.0	54	3	1225	1240
40949166173	ip	2008	20672.0			1	9
41149092837	ar	2008	16845.0	369	4	1215	1220
41149117549	ar	2008	28185.0	13	2	126	129
41149117583	ar	2008	27098.0	17	1	77	81
41149128190	ar	2008	18933.0	7	3	909	919
41149165801	ar	2008	29605.0	211	4	482	490
41249084681	re	2008	39530.0	81	1	269	295
41249097999	ar	2008	14100.0	18	2	273	279
41349092970	ar	2008	14411.0	7	3	283	314
41349104109	ar	2008	26098.0	19	4	545	558
41349107378	ar	2008	15410.0	64	3	264	275
41349108880	ar	2008	24640.0	31	8	1162	1180
41449108296	ar	2008	110157.0	77	6		
41449110757	ar	2008	17387.0	57	1	149	162
41549099215	ar	2008	20374.0	23	5	589	599
41549105388	ar	2008	15400.0	12	2	372	385
41549108799	cp	2008	12342.0	81	3	344	357
41549127273	ar	2008	29593.0	47	4		
41549132185	ar	2008	15369.0	36	4	553	566
41649090816	ar	2008	19889.0	22	1	263	268
41649108646	ar	2008	12061.0	36	1	119	131
41649121055	ar	2008	30073.0	42	2	472	481
41849107252	ar	2008	25169.0	155	5		
41849116025	ar	2008	24603.0	54	4	690	696
41849116616	ar	2008	16845.0	370	1	109	112
41849123804	ar	2008	15168.0	605	1	209	218
41849136464	ar	2008	130055.0	8	1	37	52
41949084529	ar	2008	28096.0	83	2	327	349
41949091078	ar	2008	13239.0	52	3	370	378
41949097076	ar	2008	17393.0	57	2	921	931
41949097624	ar	2008	14346.0	1207		9	18
41949098518	ar	2008	29806.0	9	1	1	20
41949122983	ar	2008	29806.0	9	1	43	60
41949136961	ar	2008	20550.0	61	7	798	803
42049112015	ar	2008	15908.0	57	4	257	260
42049121473	ar	2008	22044.0	17	3	384	402
42149102626	ar	2008	23859.0	79	3	279	297
42149108071	ar	2008	20327.0	44	5	733	745
42149128300	cp	2008	28132.0	103	7		
42149133648	ar	2008	27374.0	24	2	527	532
42149154880	ar	2008	17282.0	15	4	208	213
42149169140	re	2008	110000.0	65	2	191	208
42449085761	ar	2008	16689.0	508	2	212	237
42449113665	ar	2008	1.00147313E8	35	3-4	281	306
42449129269	ar	2008	19823.0	64	4	283	288
42449133742	ar	2008	29552.0	34	3	10	14
42549091687	ar	2008	22726.0	18	8	639	658
42549143671	ar	2008	27191.0	23	3		
42549145497	ar	2008	23585.0	14	1	7	20
42649091799	ar	2008	19959.0	25	2	109	123
42649103319	ar	2008	12807.0	45	1	10	14
42949085777	ar	2008	15590.0	17	2	137	195
42949134355	ar	2008	25476.0	14	1	13	28
43049126454	ar	2008	22271.0	60	5	219	231
43049140475	ar	2008	14698.0	12	1	86	97
43049141536	re	2008	29451.0	13	2	119	123
43049142670	ar	2008	26439.0	89	2	315	336
43049171633	ar	2008	20369.0	23	5	315	323
43149086102	ar	2008	145596.0	8	2	195	203
43149122007	ar	2008	29471.0	78	1	47	53
43249083626	ar	2008	4.00015181E9	4	4		
43249085257	ar	2008	94148.0	16	3	191	201
43249086048	ar	2008	14150.0	28	10	3198	3207
43249097751	ar	2008	15451.0	86	2	152	163
43349087223	ar	2008	19624.0	153	4	683	691
43449091627	ar	2008	25627.0	38	1	1	25
43449112684	re	2008	24204.0	90	2	347	368
43549120975	ar	2008	70451.0	60	1	33	37
43649101727	cp	2008	40067.0	6822			
43749110915	cp	2008	25674.0	4976 LNCS		342	347
43749115582	ar	2008	23375.0	37	3	898	905
43949105153	cp	2008	4.700152645E9	17	1	71	85
43949125483	ar	2008	29576.0	53	2	851	862
