eid	author-seq	author-SopusID	author-ori-name	author-sc-name	afid	dptid	affiliation-organization	affiliation-city-group	affiliation-country	affiliation-country-code
35248900904	1	2.59520179E10	Buss D.M.	Buss D.	60017606	103909115	Department of Psychology;Florida Atlantic University	Davie, FL 33314		usa
35248900904	2	7.006355363E9	Shackelford T.K.	Shackelford T.	60017606	103909115	Department of Psychology;Florida Atlantic University	Davie, FL 33314		usa
35248900904	3	1.60702046E10	McKibbin W.F.	McKibbin W.	60017606	103909115	Department of Psychology;Florida Atlantic University	Davie, FL 33314		usa
35548980877	1	6.701654819E9	Ayorinde E.	Ayorinde E.	60017606	103909182	Ocean Engineering Department;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
35548980877	2	2.6643179E10	Gibson R.	Gibson R.	60017606	103909182	Ocean Engineering Department;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
35548980877	3	5.54271506E10	Kulkarni S.	Kulkarni S.	60017606	103909182	Ocean Engineering Department;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
35548980877	4	7.102493684E9	Deng F.	Deng F.	60017606	103909182	Ocean Engineering Department;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
35548980877	5	7.004703435E9	Mahfuz H.	Mahfuz H.	60017606	103909182	Ocean Engineering Department;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
35548980877	6	3.6723701E10	Islam S.	Islam S.	60017606	103909182	Ocean Engineering Department;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
35548980877	7	5.54017669E10	Jeelani S.	Jeelani S.	60017606	103909182	Ocean Engineering Department;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
35748984403	1	6.603126726E9	Calio I.	Caliò I.	60017606	100303432	Department of Mechanical Engineering;Florida Atlantic University	Boca Raton, FL 33431-0991		usa
35748984403	2	2.45641325E10	Elishakoff I.	Elishakoff I.	60017606	100303432	Department of Mechanical Engineering;Florida Atlantic University	Boca Raton, FL 33431-0991		usa
36148946067	1	9.2791718E9	Aviles F.	Avilés F.	60017606	100303432	Department of Mechanical Engineering;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
36148946067	2	7.201812361E9	Carlsson L.A.	Carlsson L.	60017606	100303432	Department of Mechanical Engineering;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
36849012004	1	7.801451978E9	Sapmaz H.	Sapmaz H.	60017606	100303432	Department of Mechanical Engineering;College of Engineering and Computer Science;Florida Atlantic University	Boca Raton, FL 33431		usa
36849012004	2	8.608727E9	Lin C.-X.	Lin C.	60017606	100303432	Department of Mechanical Engineering;College of Engineering and Computer Science;Florida Atlantic University	Boca Raton, FL 33431		usa
36849012004	3	1.05394524E10	Ghenai C.	Ghenai C.	60017606	100303432	Department of Mechanical Engineering;College of Engineering and Computer Science;Florida Atlantic University	Boca Raton, FL 33431		usa
37149011105	1	6.602293642E9	Kalies W.D.	Kalies W.	60017606	103909113	Department of Mathematical Sciences;Florida Atlantic University	Boca Raton, FL 33431		usa
37149011105	2	2.30894537E10	Wess M.	Wess M.	60017606	103909113	Department of Mathematical Sciences;Florida Atlantic University	Boca Raton, FL 33431		usa
37149032447	1	6.602132185E9	Lauer-Fields J.L.	Lauer-Fields J.	60017606	103909114	Department of Chemistry and Biochemistry;Florida Atlantic University	Boca Raton, FL 33431		usa
37149032447	2	7.004075819E9	Spicer T.P.	Spicer T.	60017606	103909114	Department of Chemistry and Biochemistry;Florida Atlantic University	Boca Raton, FL 33431		usa
37149032447	3	2.30883134E10	Chase P.S.	Chase P.	60017606	103909114	Department of Chemistry and Biochemistry;Florida Atlantic University	Boca Raton, FL 33431		usa
37149032447	4	6.701546805E9	Cudic M.	Cudic M.	60017606	103909114	Department of Chemistry and Biochemistry;Florida Atlantic University	Boca Raton, FL 33431		usa
37149032447	5	2.30884961E10	Burstein G.D.	Burstein G.	60017606	103909114	Department of Chemistry and Biochemistry;Florida Atlantic University	Boca Raton, FL 33431		usa
37149032447	6	3.54512254E10	Nagase H.	Nagase H.	60017606	103909114	Department of Chemistry and Biochemistry;Florida Atlantic University	Boca Raton, FL 33431		usa
37149032447	7	6.602154744E9	Hodder P.	Hodder P.	60017606	103909114	Department of Chemistry and Biochemistry;Florida Atlantic University	Boca Raton, FL 33431		usa
37149032447	8	7.005777371E9	Fields G.B.	Fields G.	60017606	103909114	Department of Chemistry and Biochemistry;Florida Atlantic University	Boca Raton, FL 33431		usa
37249053765	1	7.102055078E9	McCaffrey R.	McCaffrey R.	60017606		Florida Atlantic University		United States	usa
37249053765	1	7.102055078E9	McCaffrey R.	McCaffrey R.	60017606	103909172	Christine E. Lynn College of Nursing;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
37249072734	1	7.003921852E9	Theotokoglou E.E.	Theotokoglou E.	60017606	100303432	Department of Mechanical Engineering;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
37249072734	1	7.003921852E9	Theotokoglou E.E.	Theotokoglou E.	60017606	105214684	Department of Ocean Engineering;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
37249072734	2	2.30907085E10	Hortis D.	Hortis D.	60017606	100303432	Department of Mechanical Engineering;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
37249072734	2	2.30907085E10	Hortis D.	Hortis D.	60017606	105214684	Department of Ocean Engineering;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
37249072734	3	7.201812361E9	Carlsson L.A.	Carlsson L.	60017606	100303432	Department of Mechanical Engineering;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
37249072734	3	7.201812361E9	Carlsson L.A.	Carlsson L.	60017606	105214684	Department of Ocean Engineering;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
37249072734	4	7.004703435E9	Mahfuz H.	Mahfuz H.	60017606	100303432	Department of Mechanical Engineering;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
37249072734	4	7.004703435E9	Mahfuz H.	Mahfuz H.	60017606	105214684	Department of Ocean Engineering;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
37449021781	1	1.63036449E10	Ghosh S.	Ghosh S.	60017606	103909117	Department of Economics;Florida Atlantic University	Boca Raton, FL 33496		usa
37449021781	2	6.60375241E9	Kanbur R.	Kanbur R.	60017606	103909117	Department of Economics;Florida Atlantic University	Boca Raton, FL 33496		usa
37449034106	1	2.3033048E10	Bickel D.	Bickel D.	60017606	103909109	Florida Atlantic University;Department of Biological Sciences;Center for Molecular Biology and Biotechnology	Boca Raton, FL 33431	United States	usa
37449034106	2	7.403034791E9	Shah R.	Shah R.	60017606	103909109	Florida Atlantic University;Department of Biological Sciences;Center for Molecular Biology and Biotechnology	Boca Raton, FL 33431	United States	usa
37449034106	3	2.30342331E10	Gesualdi S.C.	Gesualdi S.	60017606	103909109	Florida Atlantic University;Department of Biological Sciences;Center for Molecular Biology and Biotechnology	Boca Raton, FL 33431	United States	usa
37449034106	4	3.56115692E10	Haerry T.E.	Haerry T.	60017606	103909109	Florida Atlantic University;Department of Biological Sciences;Center for Molecular Biology and Biotechnology	Boca Raton, FL 33431	United States	usa
37549010964	1	6.507443779E9	Gooljarsingh L.T.	Gooljarsingh L.	60017606	103909114	Department of Chemistry and Biochemistry;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
37549010964	2	6.602511108E9	Lakdawala A.	Lakdawala A.	60017606	103909114	Department of Chemistry and Biochemistry;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
37549010964	3	5.53805123E10	Coppo F.	Coppo F.	60017606	103909114	Department of Chemistry and Biochemistry;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
37549010964	4	7.40231465E9	Luo L.	Luo L.	60017606	103909114	Department of Chemistry and Biochemistry;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
37549010964	5	7.005777371E9	Fields G.B.	Fields G.	60017606	103909114	Department of Chemistry and Biochemistry;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
37549010964	6	6.701686785E9	Tummino P.J.	Tummino P.	60017606	103909114	Department of Chemistry and Biochemistry;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
37549010964	7	6.603295724E9	Gontarek R.R.	Gontarek R.	60017606	103909114	Department of Chemistry and Biochemistry;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
37549056254	1	6.603466194E9	Louda J.W.	Louda J.	60017606	103909114	Organic Geochemistry Group;Department of Chemistry and Biochemistry;Florida Atlantic University	Boca Raton, FL	United States	usa
37549056254	1	6.603466194E9	Louda J.W.	Louda J.	60017606	103909114	Organic Geochemistry Group;Department of Chemistry and Biochemistry;Florida Atlantic University	Boca Raton, FL 33431	United States	usa
37549058818	1	2.31015073E10	Siegel P.H.	Siegel P.	60017606	103909126	School of Accounting;College of Business;Florida Atlantic University			
37549058818	1	2.31015073E10	Siegel P.H.	Siegel P.	60017606	103909201	School of Accounting;John D. McArthur Campus;Florida Atlantic University	Jupiter, FL 33458	United States	usa
