source_id	source_title	source_type	issn_all	asjc_main	asjc
12001.0	Journal of the Experimental Analysis of Behavior	j	00225002	28|32	2802|3205
12004.0	Journal of Trauma and Dissociation	j	15299732|15299740	27|32	2700|2738|3203
12005.0	Journal of Traumatic Stress	j	08949867|15736598	27|32	2738|3203
12006.0	Journal of Vocational Behavior	j	00018791|10959084	14|32|33	1407|3200|3202|3300|3304|3319
12010.0	Annual Review of Psychology	k	00664308|15452085	12|32	1201|3200
12012.0	Annual Review of Sex Research	j	10532528	27	2700
12014.0	Anuario de Psicologia	j	00665126	27|32	2738|3200
12016.0	Canadian Journal of Fisheries and Aquatic Sciences	j	0706652X|12057533	11	1104|1105
12020.0	Anxiety, Stress and Coping	j	10615806	12|27|32|33	1201|2738|3200|3203|3204|3300
12024.0	Applied Cognitive Psychology	j	08884080|10990720	12|20|28|32|33	1200|1201|2003|2803|3200|3204|3205|3300
12028.0	Applied Psychological Measurement	j	01466216|15523497	32|33	3201|3301
12029.0	Applied Psychology	j	0269994X	12|16|25|32|33	1201|1600|2507|2508|3200|3202|3204|3300|3305
12030.0	Learning and Behavior	j	15434494|15434508	28|32	2802|2805|3205
12042.0	Legal and Criminological Psychology	j	13553259	27|32|33	2734|3202|3300
12053.0	Archives of Suicide Research	j	13811118	27|32	2738|3203
12055.0	Asian Journal of Social Psychology	j	13672223|1467839X	32|33	3207|3300
12056.0	Research in International Business and Finance	j	02755319	14|20	1401|2003
12058.0	Assessment	j	10731911	32	3202|3203
12059.0	Memory	j	09658211|14640686	12|32	1201|3200
12061.0	Memory and Cognition	j	0090502X|15325946	12|27|32	1201|2700|3205|3206
12065.0	Cybium	j	03990974	11	1103|1105
12066.0	Journal of the American Medical Directors Association	j	15258610	27|29	2700|2719|2900
12067.0	Agricultural and Forest Meteorology	j	01681923	11|19|23	1102|1107|1902|2306
12068.0	International Statistical Review	j	03067734	18|26	1804|2613
12070.0	Attachment and Human Development	j	14616734|14692988	27|32	2700|2738|3204
12072.0	International Journal of Educational Development	j	07380593	33	3303|3304|3312
12073.0	International Journal of Educational Research	j	08830355	12|32|33	1200|3200|3300|3304
12074.0	Bulletin of the American Meteorological Society	j	00030007|15200477	19	1902
12080.0	Australian Health Review	j	01565788	27	2719
12082.0	Australian Journal of Psychology	j	00049530	32	3200
12088.0	Basic and Applied Social Psychology	j	01973533|15324834	32	3202|3207
12089.0	Behavior Analyst	j	07386729	32	3203|3207
12090.0	Atmosphere - Ocean	j	07055900	19	1902|1910
12094.0	Journal of the American Statistical Association	j	01621459|1537274X	18|26	1804|2613
12098.0	Journal of the American Society for Information Science and Technology	j	15322882|15322890	17	1702|1705|1709|1710|1712
12100.0	British Journal of Educational Studies	j	00071005|14678527	33	3304
12102.0	Behavior Modification	j	01454455|15524167	12|32|33|36	1201|3200|3203|3204|3300|3600
12103.0	Behavior Research Methods, Instruments, and Computers	j	07433808|15325970	32	3200|3201|3205
12107.0	Behavior Therapy	j	00057894	32	3203
12108.0	Behavioral and Brain Sciences	j	0140525X|14691825	12|13|27|28|32|33	1203|1314|2700|2802|3206|3310
12109.0	Behavioral and Cognitive Neuroscience Reviews	j	15345823|15524159	28	2802|2805
12111.0	Behavioral Medicine	j	08964289	27|32	2738|3202
12120.0	Journal of Nonparametric Statistics	j	10290311|10485252	18|26	1804|2613
12122.0	Behavioral Neuroscience	j	07357044	28	2802
12123.0	Behavioral Sciences and the Law	j	07353936|10990798	27|32|33	2700|2738|3200|3203|3300|3308
12125.0	Behaviour and Information Technology	j	0144929X|13623001	12|17|32|33	1201|1709|3204|3300
12126.0	Behaviour Change	j	08134839	32	3203|3205
12127.0	Behaviour Research and Therapy	j	00057967	10|12|27|32	1000|1201|2738|3203|3204|3205
12128.0	Behavioural and Cognitive Psychotherapy	j	13524658|14691833	32	3203
12132.0	Boundary-Layer Meteorology	j	00068314|15731472	19	1902
12136.0	Journal of Statistical Planning and Inference	j	03783758	18|26	1804|2604|2613
12142.0	International Journal of Mass Spectrometry	j	13873806	16|31	1606|1607|3104|3105
12145.0	Biological Psychology	j	03010511	28|32	2800|3206
12148.0	ISIJ International	j	09151559	22|25	2210|2211|2505|2506
12159.0	Body Image	j	17401445	32	3200|3202|3207
12160.0	Journal of Laser Applications	j	1042346X	22|25|31	2204|2504|3105|3107
12162.0	Journal of the Marine Biological Association of the United Kingdom	j	00253154|14697769	11	1104
12163.0	Brain and Cognition	j	02782626|10902147	12|28|32	1201|2805|3204|3205|3206
12164.0	Brain and Language	j	0093934X|10902155	10|12|28|32|33|36	1000|1200|1203|2800|2805|3200|3205|3300|3310|3600|3616
12165.0	Marine Biology	j	00253162|14321793	11|23	1104|1105|2303
12166.0	Mathematics and Computers in Simulation	j	03784754	17|26	1700|2604|2611|2612|2614
12167.0	Marine Ecology	j	01739565|14390485	11|13|16|23|33|35	1104|1105|1307|1604|1605|2303|3303|3506
12169.0	Marine Ecology - Progress Series	j	01718630|16161599	11|23	1104|1105|2303
12170.0	Modeling, Identification and Control	j	03327353	17|22|26	1706|1712|2207|2611
12172.0	Climate Dynamics	j	09307575|14320894	19	1902
12174.0	Navigation, Journal of the Institute of Navigation	j	00281522	22	2202|2208
12175.0	Climate Research	j	0936577X|16161572	19|23	1902|2300|2304
12177.0	Climatic Change	j	01650009|15731480	19|23	1902|2306
12179.0	Journal of Luminescence	j	00222313	13|16|31	1303|1304|1600|3104|3107
12181.0	Journal of Modern Optics	j	09500340|13623044	31	3107
12186.0	Joint Bone Spine	j	1297319X	27	2745
12189.0	Simulation Modelling Practice and Theory	j	1569190X	17|26	1708|1712|2611
12191.0	Journal of Arthroplasty	j	08835403|15328406	27	2700|2732
12196.0	Methods in Molecular Biology	j	10643745	13|27	1311|1312|2700
12198.0	Journal of Bone and Joint Surgery - Series A	j	00219355	27	2700|2732|2746
12201.0	Journal of Bone and Joint Surgery - Series B	j	0301620X	27	2732|2746
12205.0	Journal of Optics A: Pure and Applied Optics	j	14644258|17413567	31	3107
12211.0	Journal of Bone and Mineral Research	j	08840431|15234681	27	2700|2712|2732
12213.0	ACM Transactions on Computer Systems	j	07342071	17	1700
12214.0	Journal of Emergency Medicine	j	07364679|10901280	27	2711
12216.0	Molecular Biology and Evolution	j	07374038|15371719	11|13	1105|1311|1312
12217.0	Molecules and Cells	j	02191032|10168478	13	1307|1312
12218.0	Journal of Head Trauma Rehabilitation	j	08859701|1550509X	27|36	2728|2742|3612
12220.0	Journal of Muscle Research and Cell Motility	j	01424319|15732657	13	1303|1307|1314
12222.0	Conference Record of the Asilomar Conference on Signals, Systems and Computers	p	10586393	17	1705|1711
12229.0	Mass Spectrometry Reviews	j	02777037|10982787	13|16|31|35	1300|1307|1602|1604|1605|1607|3104|3506
12235.0	Journal of Neurotrauma	j	08977151	27	2728
12239.0	Journal of Orthopaedic Research	j	07360266	27	2700|2732
12240.0	Journal of Orthopaedic Science	j	09492658|14362023	27	2732
12244.0	Journal of Health and Social Policy	j	08977186|15404064	27|33	2719|2739|3305
12245.0	Journal of HIV/AIDS and Social Services	j	15381501|1538151X	33	3306
12247.0	Journal of Human Behavior in the Social Environment	j	10911359	33	3301|3314
12257.0	Journal of Orthopaedic Trauma	j	08905339	27	2732|2746
12264.0	Future Generation Computer Systems	j	0167739X	17	1705|1708|1712
12265.0	Journal of Rehabilitation Research and Development	j	07487711	27	2742
12267.0	Proceedings of the Hawaii International Conference on System Science	p	00731129	17|22	1712|2209
12269.0	IEEE Distributed Systems Online	j	15414922	17|22	1705|1708|1712|2200
12272.0	Journal of Rehabilitation Medicine	j	16501977	27|36	2742|3612
12274.0	Progress in Aerospace Sciences	j	03760421	22	2202|2210|2211
12277.0	Management Accounting Research	j	10445005|10961224	14|18|20	1402|1802|2003
12283.0	Journal of Social Service Research	j	01488376|15407314	33	3301|3312
12284.0	Surface Science	j	00396028	25|31	2505|2508|3104|3110
12300.0	IEEE Transactions on Very Large Scale Integration (VLSI) Systems	j	10638210	17|22	1708|1712|2208
12302.0	JOM	j	10474838	22|25	2200|2500
12303.0	Information and Management	j	03787206	14|17|18	1404|1710|1802
12305.0	Information Systems	j	03064379	17	1708|1710|1712
12308.0	Journal of Social Work Education	j	10437797	33	3301|3304
12309.0	Journal of Social Work Practice	j	02650533|14653885	27|33	2709|3301|3306
12310.0	Technical Physics	j	10637842|10906525	31	3101
12316.0	Optical Engineering	j	00913286	22|31	2200|3107
12318.0	Optical Materials	j	09253467	17|22|25|31	1700|2208|2504|3107
12319.0	Optical Review	j	13406000	31	3107
12320.0	Journal of the Optical Society of America A: Optics and Image Science, and Vision	j	10847529|15208532	17|25|27|31	1707|2504|2700|3107
12321.0	Information Systems Journal	j	13501917|13652575	16|17|23|27|30	1601|1705|1710|1712|2312|2713|3003
12331.0	Current Topics in Medicinal Chemistry	j	15680266	30	3002
12332.0	Safety Science	j	09257535	22|27|33	2213|2739|3311
12336.0	International Journal for Numerical Methods in Engineering	j	00295981|10970207	22|26	2200|2604|2612
12337.0	International Journal of Bifurcation and Chaos in Applied Sciences and Engineering	j	02181274	10|22|26	1000|2200|2604|2611
12342.0	International Journal of Control	j	00207179	17|22	1706|2207
12344.0	Scandinavian Journal of Work, Environment and Health	j	03553140	27	2739
12345.0	International Journal of Engineering Education	j	0949149X	22|33	2200|3304
12346.0	Optics and Laser Technology	j	00303992	22|25|31	2208|2504|3107
12347.0	Thin Solid Films	j	00406090	25|31	2504|2505|2506|2508|3110
12349.0	International Journal of Engineering Science	j	00207225	22	2200
12350.0	Optics and Photonics News	d	10476938|15413721	22|25|31	2208|2504|3104|3107
12351.0	Optics and Spectroscopy (English translation of Optika i Spektroskopiya)	j	0030400X|15626911	25|31	2504|3107
12352.0	Optics Communications	j	00304018	16|22|25|31	1606|2208|2504|3107
12354.0	Lancet Oncology, The	j	14702045|14745488	27	2730
12358.0	International Journal of Fuzzy Systems	j	15622479	17|26	1702|1703|1712|2614
12360.0	International Journal of General Systems	j	03081079	17|22|26	1706|1710|2207|2611|2614
12366.0	Photogrammetric Engineering and Remote Sensing	j	00991112	19	1903
12368.0	Proceedings of the International Symposium on Parallel Architectures, Algorithms and Networks, I-SPAN	p	10874089	17	1700
12370.0	Journal of Computer and System Sciences	j	00220000|10902724	17|26	1703|1705|2604|2614
12372.0	Acta Astronautica	j	00945765	22	2202
12373.0	Journal of Computer Information Systems	j	08874417	17|33	1705|1710|3304
12375.0	Advances in Space Research	j	02731177	19|22	1912|2202
12383.0	International Journal of Impact Engineering	j	0734743X	22	2202|2203|2205|2210|2211|2212|2213
12387.0	International Journal of Mechanical Engineering Education	j	03064190	22|33	2210|3304
12391.0	Lung Cancer	j	01695002	13|27	1306|2700|2730|2740
12394.0	Nature Structural and Molecular Biology	j	15459985|15459993	13|27	1312|1315|2700
12395.0	Polar Geography	j	1088937X	11|19|33	1100|1900|3305
12396.0	Journal of Strategic Information Systems	j	09638687	14|17|18	1404|1710|1802
12397.0	Polar Record	j	00322474|14753057	19|23|33	1900|2303|3305
12398.0	Journal of Systems Architecture	j	13837621	17	1708|1712
12400.0	APMIS : acta pathologica, microbiologica, et immunologica Scandinavica	j	09034641	27	2723|2726|2734
12402.0	MIS Quarterly: Management Information Systems	j	02767783	14|17|18	1404|1706|1710|1802
12403.0	Medical Oncology	j	13570560	13|27	1306|2700|2720|2730
12412.0	Topics in Geriatric Rehabilitation	j	08827524|15502414	27|36	2717|2742|3612
12415.0	International Journal of Reliability, Quality and Safety Engineering	j	02185393	17|21|22	1700|2102|2104|2202|2208|2209|2213
12419.0	International Journal of Systems Science	j	00207721|14645319	17|22|26	1706|2207|2614
12427.0	Melanoma Research	j	09608931	13|27	1306|2708|2730
12428.0	Comptes Rendus - Biologies	j	16310691	11|13|24|27	1100|1300|2400|2700
12430.0	Molecular Cancer Research	j	15417786	13|27	1306|1312|2730
12435.0	Molecular Cancer Therapeutics	j	15357163	13|27	1306|2730
12437.0	Molecular Carcinogenesis	j	08991987|10982744	13|15|16|35	1303|1306|1307|1312|1502|1604|1605|3506
12440.0	Professional Geographer	j	00330124|14679272	19|33	1904|3305
12442.0	Progress in Human Geography	j	03091325|14770288	33	3300|3305
12443.0	Real-Time Systems	j	09226443|15731383	17|22|26	1705|1706|2207|2208|2606|2611
12445.0	Deutsche Medizinische Wochenschrift	j	00120472|30021472	27	2700
12455.0	Molecular Therapy	j	15250016|15250024	13|27|30	1311|1312|1313|2700|3002|3004
12457.0	Progress in Physical Geography	j	03091333|14770296	19|33	1900|1901|3305
12459.0	Journal of the National Cancer Institute	j	00278874	13|27	1306|2730
12464.0	Nature Reviews Cancer	j	1474175X	13|27	1306|2730
12480.0	Work	j	10519815	27	2700|2739|2742
12481.0	Journal of Engineering Education	j	10694730	22|33	2200|3304
12490.0	Journal of Fluids and Structures	j	08899746|10958622	22	2210
12492.0	Journal of Information Science and Engineering	j	10162364	17|33	1703|1708|1709|1712|3309
12493.0	Acta Oecologica	j	1146609X	11|23	1105|2309
12495.0	Neoplasia	j	15228002	13	1306
12503.0	Remote Sensing of Environment	j	00344257	11|19	1111|1903|1907
12505.0	Ecology of Food and Nutrition	j	03670244|15435237	11|23|27	1106|2303|2701
12506.0	Disease Management and Clinical Outcomes	j	10883371	27	2701
12509.0	Journal of Integrated Design and Process Science	j	10920617	22	2200
12522.0	Advances in Marine Biology	j	00652881	11	1104|1105
12523.0	Oncogene	j	09509232	13	1306|1311|1312
12528.0	African Journal of Ecology	j	01416707|13652028	11|29|32|33	1103|1105|2905|3203|3305
12531.0	Oncologist	j	10837159|1549490X	13|27	1306|2730
12538.0	European Journal of Clinical Nutrition	j	09543007|14765640	27|29	2701|2916
12539.0	European Journal of Nutrition	j	14366207|14366215	27|29	2701|2916
12549.0	BJOG: An International Journal of Obstetrics and Gynaecology	j	14700328|14710528	14|16|24|27	1400|1405|1605|2400|2700|2729
12551.0	Best Practice and Research in Clinical Obstetrics and Gynaecology	j	15216934	27	2700|2729
12554.0	Oncology	j	00302414|14230232	13|27	1306|2700|2730
12559.0	Biology of the Neonate	j	00063126|14219727	13|27	1309|2735
12568.0	Oncology Reports	j	1021335X	13|27	1306|2730
12584.0	Drug Metabolism Reviews	j	03602532|10979883	27|30	2736|3000
12596.0	Breast Disease	j	08886008|15581551	13|27	1306|2730
12602.0	American Journal of Human Biology	j	10420533|15206300	11|13|27|33	1105|1311|2700|2702|3314
12604.0	American Naturalist	j	00030147|15375323	11|27	1105|2700
12605.0	Onkologie	j	0378584X|14230240	13|27	1306|2720|2730
12611.0	Drug Resistance Updates	j	13687646|15322084	13|27|30	1306|2700|2725|2730|2736|3004
12633.0	Aircraft Engineering and Aerospace Technology	j	17488842	22	2202
12634.0	Early Science and Medicine	j	13837427|15733823	10|12|27	1000|1202|1207|2700
12647.0	Pediatric Blood and Cancer	j	15455009|15455017	27	2700|2720|2730|2735
12648.0	Clinics in Perinatology	j	00955108	27	2729|2735
12661.0	Current Opinion in Obstetrics and Gynecology	j	1040872X|1473656X	27	2700|2729
12663.0	Early Human Development	j	03783782	27	2729|2735
